pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax,ay,az,force_x,force_y,force_z
0.585272551,-0.454805829,1.023332752,-0.526919724,0.186979602,-0.030835102,0.587785252,-0.475528258,1,-0.508236758,0.194033376,0,-2.46E-05,-0.07670193,0.37032098,-0.0001476,-0.46021158,4.81417274
0.558488651,-0.444282474,1.023074924,-0.535677995,0.210467096,-0.005156553,0.562083378,-0.464888243,1,-0.519584573,0.231147319,0,0.19811295,-0.08563708,0.33823708,1.1886777,-0.51382248,4.39708204
0.533688637,-0.432937017,1.023154221,-0.49600029,0.226909129,0.001585933,0.535826795,-0.452413526,1,-0.530419621,0.267349029,0,0.11976719,-0.025063168,0.35073364,0.71860314,-0.150379008,4.55953732
0.509908722,-0.420318975,1.023813995,-0.475598292,0.252360841,0.013195487,0.509041416,-0.43815334,1,-0.540731209,0.302495635,0,-0.3993198,0.2912707,0.3197915,-2.3959188,1.7476242,4.1572895
0.481527895,-0.403272962,1.024232988,-0.567616539,0.340920255,0.008379862,0.481753674,-0.422163963,1,-0.55050916,0.336448428,0,-0.21005474,0.051569138,0.2326894,-1.26032844,0.309414828,3.0249622
0.451507872,-0.385198363,1.022391368,-0.600400472,0.361491983,-0.036832408,0.4539905,-0.404508497,1,-0.559743825,0.369073414,0,-0.20502281,0.23358183,0.33998626,-1.23013686,1.40149098,4.41982138
0.420374416,-0.36440519,1.021170792,-0.622669121,0.415863468,-0.024411519,0.425779292,-0.385256621,1,-0.568426091,0.400241835,0,-0.061023265,-0.09685538,0.33689818,-0.36613959,-0.58113228,4.37967634
0.390094392,-0.345051494,1.020414479,-0.605600474,0.387073921,-0.015126267,0.397147891,-0.364484314,1,-0.576547389,0.429830684,0,0.34825432,0.026824348,0.37519735,2.08952592,0.160946088,4.87756555
0.365218785,-0.325721185,1.020961089,-0.49751213,0.386606171,0.010932208,0.368124553,-0.342273553,1,-0.584099704,0.457723188,0,-0.395586,0.4544295,0.362324,-2.373516,2.726577,4.710212
0.337032409,-0.301904477,1.022307688,-0.563727529,0.476334176,0.026931983,0.33873792,-0.318711995,1,-0.591075583,0.483809268,0,-0.47736293,0.40252757,0.22020411,-2.86417758,2.41516542,2.86265343
0.305353751,-0.275017514,1.020974722,-0.633573161,0.537739252,-0.026659329,0.309016994,-0.293892626,1,-0.597468142,0.507985974,0,-0.37365568,0.19321972,0.32068598,-2.24193408,1.15931832,4.16891774
0.272072315,-0.247999225,1.019742261,-0.665628725,0.540365777,-0.024649218,0.278991106,-0.267913397,1,-0.603271072,0.530157891,0,-0.121132955,0.13915142,0.33763692,-0.72679773,0.83490852,4.38927996
0.240424933,-0.221660072,1.01900397,-0.632947634,0.526783069,-0.014765821,0.248689887,-0.240876837,1,-0.608478646,0.550237517,0,0.061506208,0.09987023,0.35241547,0.369037248,0.59922138,4.58140111
0.212390503,-0.196523007,1.019039559,-0.560688606,0.502741302,0.000711777,0.218143241,-0.212889646,1,-0.613085726,0.568145607,0,-0.3002982,0.5216763,0.36412078,-1.8017892,3.1300578,4.73357014
